Targa2,Euro 0,Euro 1,Euro 2,Euro 3,Euro 4,Euro 5,Euro 6,Elettrico
FE,0.00145560407569141,0.000485201358563804,0.00157690441533236,0.00206210577389617,0.0107957302280446,0.0901261523532266,0.893013100436681,0.000485201358563804
FF,0.00217139548349739,0.000434279096699479,0.00224377533294731,0.00419803126809496,0.0243920092646207,0.123769542559351,0.84141574985524,0.00137521713954835
FG,0.00155440414507772,0.000647668393782383,0.00181347150259067,0.00284974093264249,0.0151554404145078,0.0619170984455959,0.913860103626943,0.0022020725388601
FH,0.00127342186647262,0.000272876114244133,0.00172821539021284,0.0032745133709296,0.0112788793887575,0.0466618155357468,0.934509732581408,0.00100054575222849
FJ,0.00171732783788425,0.000515198351365276,0.00163146144599004,0.00446505237849906,0.0176884767302078,0.0724712347587154,0.900480851794608,0.00103039670273055
FK,0.00165898617511521,0.000368663594470046,0.00110599078341014,0.00294930875576037,0.0125345622119816,0.0644239631336406,0.913824884792627,0.00313364055299539
FL,0.00130218930577033,0.000244160494831936,0.00227883128509807,0.0053715308863026,0.0164401399853504,0.0617726051924799,0.911206966712786,0.00138357613738097
FM,0.00209982232272654,0.000484574382167663,0.0025843967048942,0.00355354546922953,0.0155063802293652,0.0619447585204329,0.91043450169601,0.00339202067517364
FN,0.00100107808409056,7.70060064685045E-05,0.00200215616818112,0.00400431233636224,0.0154012012937009,0.0477437240104728,0.92792237794548,0.00184814415524411
FP,0.000285741499190399,0.000476235831983998,0.000666730164777598,0.00180969616153919,0.00647680731498238,0.0126678731307744,0.975997714068007,0.00161920182874559
FR,0.00109706103123737,0.000230960217102604,0.00144350135689128,0.00340666320226341,0.0155320746001501,0.0554881921589006,0.920087764882499,0.0027137825509556
FS,0.00175484776695622,0.000438711941739054,0.00149162060191278,0.00157936299026059,0.0118452224269545,0.0510660700184259,0.928489953496534,0.00333421075721681
FT,0.00159100551548579,0.000848536274925753,0.0027577428935087,0.00519728468392024,0.0286380992787442,0.074034789987272,0.883273228680526,0.00365931268561731
